"","V1","V2","V3","V4","V5"
"1","q_111","89","79.6","1e-04","yes"
"2","q_111_angioedema","51.5","42","1e-04","yes"
"3","q_111_erythema_flush_v5","32.6","27.7","1e-04","yes"
"4","q_111_pruritus","39.8","44.4","1e-04","yes"
"5","q_111_urticaria","49.9","44.6","1e-04","yes"
"6","q_112","41.1","37.6","1e-04","yes"
"7","q_112_abdominal_pain","13.5","3.53","1e-04","yes"
"8","q_112_abdominal_distention_v5","0.787","0.156","1e-04","yes"
"9","q_112_diarrhoea","8.11","3.93","1e-04","yes"
"10","q_112_dysphagia_v5","4.92","2.88","1e-04","yes"
"11","q_112_vomiting","20.2","11.5","1e-04","yes"
"12","q_112_incontinence","1.25","5.85","1e-04","yes"
"13","q_112_nausea","15.9","25.7","1e-04","yes"
"14","q_113","72.3","60.9","1e-04","yes"
"15","q_111_conjunctivitis_v5","7.04","3.86","1e-04","yes"
"16","q_113_respiratory_arrest","1.42","1.29","0.623","yes"
"17","q_113_dyspnea","53.1","46.8","1e-04","yes"
"18","q_113_chest_tightness_v5","8.73","11.5","1e-04","yes"
"19","q_113_cough_v5","14.1","4.55","1e-04","yes"
"20","q_113_change_in_voice_v5","7.07","2.79","1e-04","yes"
"21","q_113_throat_tightness_v5","12.8","17.8","1e-04","yes"
"22","q_113_wheezing_expiratory_distress_v5","10.3","2.28","1e-04","yes"
"23","q_113_rhinitis_v5","7.75","1.7","1e-04","yes"
"24","q_113_stridor_inspiratory","6.85","3.32","1e-04","yes"
"25","q_114","50.2","78.6","1e-04","yes"
"26","q_114_loss_of_consciousness","11.1","23.3","1e-04","yes"
"27","q_114_hypotension_collapse_v5","23.9","36.6","1e-04","yes"
"28","q_114_chest_pain_angina_v5","0.97","1.34","0.069","yes"
"29","q_114_palpitations_cardiac_arrythmia_v5","2.66","3.5","0.01","yes"
"30","q_114_cardiac_arrest","1.69","1.58","0.708","yes"
"31","q_114_dizziness","19.4","45.9","1e-04","yes"
"32","q_114_tachycardia","12.8","11.8","0.1","yes"
"33","q_114_reductions_of_alertness","9.36","15.1","1e-04","yes"
"34","q_115_dysarthria_v6","0.829","1.38","0.005","yes"
"35","q_115_dysphonia_v6","3.13","1.18","1e-04","yes"
"36","q_115_hot_sweat_tremble_v6","8.81","20.8","1e-04","yes"
"37","q_115_tingle_hands_feet_paresthesia_v6","5.38","8.68","1e-04","yes"
"38","q_115_sight_disorder_v6","1.38","3.55","1e-04","yes"
"39","q_115_agony_v6","1.55","2.12","0.025","yes"
"40","q_115_cyanosis_pallor_v6","3.4","2.57","0.011","yes"
"41","d_severity_rm","47.5","56.7","1e-04","grade II"
"42","d_111_sum","30.4","27.5","0.001","one"
"43","d_112_sum","24.4","25.2","0.32","one"
"44","d_113_sum","41.2","37.7","1e-04","one"
"45","d_114_sum","28.5","35.7","1e-04","one"
"46","d_organ_sum","7.49","10.6","1e-04","one"
"47","q_116_VAS_v7","0.127","0.112","1","2"
"48","q_120_time_between_v4","0","0","1","unknown"
"49","q_130_biphasic_v4","3.98","3.12","0.017","yes"
"50","q_131_biphasic_time_v4","79.6","68.8","1e-04","no biphasic reaction"
"51","q_140_fatal","0.295","0.156","0.174","yes"
"52","q_141_fatal_time_v5","0","0.0223","0.387","0 – 10 mins"
"53","q_141_fatal_time_free_v5","0.0141","0","1","4320                                              "
